"","날짜","평균기온..."
"1","2019-01-01",-2.1
"2","2019-01-02",-2.5
"3","2019-01-03",-2.1
"4","2019-01-04",-0.7
"5","2019-01-05",0.2
"6","2019-01-06",-1.3
"7","2019-01-07",-0.5
"8","2019-01-08",-0.7
"9","2019-01-09",-2.9
"10","2019-01-10",0.5
"11","2019-01-11",2.1
"12","2019-01-12",3
"13","2019-01-13",1.3
"14","2019-01-14",1
"15","2019-01-15",0.9
"16","2019-01-16",-3.2
"17","2019-01-17",0.4
"18","2019-01-18",0.8
"19","2019-01-19",2.9
"20","2019-01-20",1.6
"21","2019-01-21",0.5
"22","2019-01-22",2.6
"23","2019-01-23",3.1
"24","2019-01-24",0.7
"25","2019-01-25",-0.4
"26","2019-01-26",-1.8
"27","2019-01-27",-0.2
"28","2019-01-28",2.6
"29","2019-01-29",0
"30","2019-01-30",3.5
"31","2019-01-31",0.3
"32","2019-02-01",-1.3
"33","2019-02-02",2.1
"34","2019-02-03",5.6
"35","2019-02-04",2.5
"36","2019-02-05",2.9
"37","2019-02-06",5.6
"38","2019-02-07",2.1
"39","2019-02-08",-2
"40","2019-02-09",-1.7
"41","2019-02-10",-1.4
"42","2019-02-11",-0.8
"43","2019-02-12",0.1
"44","2019-02-13",0.3
"45","2019-02-14",0.6
"46","2019-02-15",2
"47","2019-02-16",-0.3
"48","2019-02-17",-0.2
"49","2019-02-18",2.2
"50","2019-02-19",2.9
"51","2019-02-20",2.8
"52","2019-02-21",2.7
"53","2019-02-22",3.9
"54","2019-02-23",5
"55","2019-02-24",6.1
"56","2019-02-25",6
"57","2019-02-26",5.4
"58","2019-02-27",7.1
"59","2019-02-28",6.8
"60","2019-03-01",6
"61","2019-03-02",6.9
"62","2019-03-03",8.7
"63","2019-03-04",8.8
"64","2019-03-05",8.2
"65","2019-03-06",8.8
"66","2019-03-07",6.5
"67","2019-03-08",6.1
"68","2019-03-09",7.9
"69","2019-03-10",7.8
"70","2019-03-11",6.4
"71","2019-03-12",5.8
"72","2019-03-13",3.9
"73","2019-03-14",5.2
"74","2019-03-15",5.8
"75","2019-03-16",5.8
"76","2019-03-17",6.6
"77","2019-03-18",7.5
"78","2019-03-19",10.7
"79","2019-03-20",11.4
"80","2019-03-21",9.8
"81","2019-03-22",5.2
"82","2019-03-23",4.2
"83","2019-03-24",4.7
"84","2019-03-25",7.2
"85","2019-03-26",10.5
"86","2019-03-27",12.8
"87","2019-03-28",10.6
"88","2019-03-29",10.6
"89","2019-03-30",7.2
"90","2019-03-31",5.4
"91","2019-04-01",5.7
"92","2019-04-02",6.7
"93","2019-04-03",7.4
"94","2019-04-04",9.9
"95","2019-04-05",11.7
"96","2019-04-06",11.6
"97","2019-04-07",12.5
"98","2019-04-08",11.8
"99","2019-04-09",9.3
"100","2019-04-10",7.2
"101","2019-04-11",8.8
"102","2019-04-12",10.7
"103","2019-04-13",11.6
"104","2019-04-14",10.2
"105","2019-04-15",11.1
"106","2019-04-16",14.2
"107","2019-04-17",15.5
"108","2019-04-18",15.3
"109","2019-04-19",12.8
"110","2019-04-20",14.7
"111","2019-04-21",16.5
"112","2019-04-22",17.6
"113","2019-04-23",16.8
"114","2019-04-24",17.3
"115","2019-04-25",13.5
"116","2019-04-26",9.4
"117","2019-04-27",11.4
"118","2019-04-28",12.1
"119","2019-04-29",11.3
"120","2019-04-30",14.6
"121","2019-05-01",15.4
"122","2019-05-02",16
"123","2019-05-03",16.7
"124","2019-05-04",17.6
"125","2019-05-05",18.9
"126","2019-05-06",14
"127","2019-05-07",13.9
"128","2019-05-08",15.7
"129","2019-05-09",17.1
"130","2019-05-10",17.6
"131","2019-05-11",18.5
"132","2019-05-12",18.4
"133","2019-05-13",17.9
"134","2019-05-14",19.8
