특보통보,
발표시각,지역
2020-06-30 8:30,전국
발효시각,
(1) 폭풍해일주의보 발표 : 2020년 06월 30일 09시 00분,
해당지역,
"(1) 폭풍해일주의보 발표 : 강원도(삼척평지, 동해평지, 강릉평지, 양양평지, 고성평지, 속초평지)",
내용,
,
발표시각,지역
2020-06-30 15:00,전국
발효시각,
(1) 강풍주의보 해제 : 2020년 06월 30일 15시 00분,
(2) 폭풍해일주의보 해제 : 2020년 06월 30일 15시 00분,
(3) 강풍주의보 해제 : 2020년 06월 30일 16시 00분,
(4) 풍랑주의보 해제 : 2020년 06월 30일 17시 00분,
(5) 풍랑주의보 해제 : 2020년 06월 30일 18시 00분,
해당지역,
"(1) 강풍주의보 해제 : 흑산도.홍도, 전라남도(거문도.초도, 여수)",
"(2) 폭풍해일주의보 해제 : 강원도(삼척평지, 동해평지, 강릉평지, 양양평지, 고성평지, 속초평지)",
"(3) 강풍주의보 해제 : 울산, 부산, 경상남도(남해, 고성, 거제, 사천, 통영, 하동, 김해, 창원)",
(4) 풍랑주의보 해제 : 서해중부먼바다,
"(5) 풍랑주의보 해제 : 남해서부동쪽먼바다, 서해남부남쪽먼바다, 서해남부북쪽먼바다",
내용,
,
발표시각,지역
2020-06-30 22:10,전국
발효시각,
(1) 폭풍해일주의보 발표 : 2020년 06월 30일 22시 10분,
해당지역,
"(1) 폭풍해일주의보 발표 : 강원도(삼척평지, 동해평지, 강릉평지, 양양평지, 고성평지, 속초평지)",
내용,
,
